Regn_Cd,Regn_Nm,Dstrc_C,Dstrc_N,Ward_Cd,Ward_Nm,WardCod,ttl_bth,totl_ml,totl_fm,Ar_kmsq,wwid,ID_ward,Yr_bttn,Mnth_bt,id_year,id_yr_m,Date,bit_cnt,dth_cnt,nwctgry,prtctd_,lnd_cvr,pvrty_n,elevatn,pop_den,dogpop,vdogs
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,2,7,74,2012-02-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1275,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,3,7,75,2012-03-01,1,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1277,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,4,7,76,2012-04-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1280,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,5,7,77,2012-05-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1281,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,6,7,78,2012-06-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1284,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,7,7,79,2012-07-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1286,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,8,7,80,2012-08-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1287,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,9,7,81,2012-09-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1290,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,10,7,82,2012-10-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1293,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,11,7,83,2012-11-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1294,0
